284 182 284 186
300 186 268 186
288 182 264 182
276 182 284 186
284 190 276 198
268 198 300 186
284 196 268 184
276 184 292 182
284 200 268 186
284 202 276 180
288 198 280 172
284 188 292 202
284 184 268 186
284 180 288 182
272 198 268 188
284 180 284 182
292 196 280 196
284 186 272 186
284 202 270 190
298 186 276 198
284 182 268 192
284 190 276 190
272 182 288 188
276 182 284 200
288 178 272 186
272 186 288 186
284 182 288 192
276 196 284 196
280 178 268 186
292 186 284 198
284 178 284 196
272 190 272 198
288 182 270 186
268 186 276 182
300 190 280 198
298 180 292 188
280 186 280 196
280 188 284 188
292 198 280 182
292 186 284 202
276 184 276 198
276 202 284 186
284 188 276 180
276 180 284 196
292 174 288 202
276 192 292 180
272 190 284 190
272 190 284 196
280 182 272 192
284 196 292 190
272 182 268 186
288 186 288 196
280 182 284 180
272 186 280 186
284 194 284 198
284 186 276 196
284 178 272 186
268 202 284 182
284 192 276 198
292 198 272 190
276 194 292 182
284 180 284 200
276 184 284 186
268 186 276 190
276 200 284 192
296 188 288 192
292 196 280 196
296 202 284 186
292 196 288 196
292 188 288 180
296 186 292 198
284 196 284 188
280 182 296 196
292 182 284 196
292 198 292 182
284 190 284 180
296 190 280 188
296 186 288 186
276 200 284 180
292 186 284 182
296 190 284 180
292 198 292 182
292 196 296 190
284 186 280 182
284 186 292 198
276 202 276 180
280 198 284 186
284 186 292 190
296 186 288 186
292 180 272 190
296 186 292 186
276 198 268 198
276 186 284 188
296 186 272 186
300 198 276 186
276 202 268 186
276 196 272 186
292 186 292 186
284 182 276 186
292 202 284 182
292 186 272 186
284 186 284 186
298 198 268 186
284 180 284 188
296 186 284 186
292 186 284 198
292 202 284 202
292 182 288 198
300 186 284 202
284 200 284 190
284 188 284 180
296 186 268 198
292 186 284 182
284 196 276 192
280 186 296 202
292 196 284 184
292 180 284 192
280 186 284 198
288 186 292 192
288 190 272 196
292 182 296 196
280 186 268 186
284 182 272 190
292 186 288 196
292 186 284 186
284 192 284 196
292 186 284 186
284 202 254 196
280 190 298 202
280 192 268 178
284 178 268 190
284 182 284 188
284 186 292 198
300 198 276 186
276 190 264 172
292 182 288 174
288 198 284 186
292 186 292 182
292 186 280 188
284 178 272 178
284 202 276 186
292 186 292 190
272 190 288 186
290 174 284 194
292 188 284 198
284 198 268 186
292 186 280 178
292 180 276 202
276 186 284 198
284 178 272 190
292 202 270 194
292 200 276 186
292 186 260 190
284 190 288 190
284 182 292 198
284 186 284 186
268 198 272 196
288 178 288 178
284 180 284 182
284 202 284 198
292 186 280 186
288 202 292 202
284 194 284 186
268 190 272 172
284 198 284 198
292 182 270 186
284 186 284 182
292 182 288 188
288 186 264 186
292 202 284 186
284 178 276 196
276 190 288 178
300 186 284 198
292 182 284 198
292 198 264 182
296 186 268 186
284 188 276 202
276 174 268 178
292 186 264 190
296 198 268 198
292 186 268 186
276 190 272 174
276 190 288 190
272 202 292 198
284 186 292 190
272 190 272 188
296 190 292 186
284 188 284 182
284 202 270 190
284 178 284 178
284 202 276 174
292 186 284 196
292 178 272 190
296 178 296 186
292 200 284 190
292 186 280 190
276 178 276 190
284 178 292 186
292 186 276 186
284 198 276 198
284 174 276 184
284 172 284 200
276 182 252 196
268 196 260 182
292 196 268 202
268 202 248 188
256 186 276 206
264 188 264 192
264 180 260 202
264 202 254 196
280 192 276 186
276 198 272 194
268 186 284 186
292 194 284 190
284 186 292 186
270 200 284 202
284 180 284 186
284 192 268 186
276 196 288 196
292 198 284 186
298 198 276 188
260 178 280 174
276 202 270 182
284 182 276 186
284 186 292 190
268 186 264 186
292 192 292 184
276 192 276 186
284 198 276 198
292 182 292 202
276 180 276 180
284 196 284 186
284 190 292 186
276 194 276 188
284 196 284 188
272 192 276 186
284 182 284 174
284 196 276 188
288 190 272 192
284 200 276 190
276 200 292 192
272 182 284 196
292 188 296 194
276 200 276 182
284 196 288 188
292 186 280 188
284 180 284 186
284 192 284 180
288 198 296 182
272 190 272 192
292 196 292 192
284 196 280 182
280 198 288 190
276 190 268 192
276 180 284 196
272 180 268 198
268 182 284 196
288 186 288 186
292 200 284 196
284 186 280 186
288 186 284 182
284 186 272 186
292 196 288 180
284 198 280 190
284 186 284 190
296 186 284 186
292 190 284 182
272 198 292 206
320 192 196 198
284 190 288 188
284 186 284 198
284 202 278 186
292 182 284 198
298 178 276 186
298 192 276 196
288 190 276 180
288 188 276 186
284 172 292 184
288 186 268 186
284 178 292 178
284 186 284 196
280 186 272 178
268 202 284 202
284 178 292 190
292 186 288 190
284 178 300 186
284 188 276 186
284 178 268 190
272 198 292 186
284 180 284 192
280 188 272 200
284 178 276 178
284 182 276 192
284 190 288 172
284 180 288 202
276 178 276 194
292 196 284 196
288 182 296 196
284 196 280 188
284 184 284 192
284 186 272 186
292 198 268 190
288 186 276 190
300 186 264 198
276 192 284 202
276 186 284 178
284 188 284 202
292 180 280 196
296 186 272 196
292 172 292 200
276 196 284 180
296 186 264 190
296 186 276 196
284 180 284 178
292 186 288 186
292 186 280 186
284 186 276 180
296 190 296 186
292 200 284 200
280 182 288 180
292 188 276 184
296 198 284 186
284 198 248 196
268 178 268 184
272 188 284 174
292 186 292 186
284 198 260 182
284 186 284 188
288 198 276 186
276 186 284 178
284 198 284 182
284 198 288 182
272 178 292 178
276 202 268 186
284 186 268 196
296 198 288 190
284 186 276 186
284 202 292 178
276 186 264 190
268 202 284 182
276 188 284 174
284 186 284 186
292 186 284 182
292 196 284 172
284 182 280 192
284 182 292 182
292 192 284 192
284 182 272 188
272 188 276 182
284 202 284 186
284 180 276 196
292 186 284 172
276 180 284 186
284 188 284 180
288 190 284 196
284 182 288 174
276 174 284 178
298 200 284 180
280 190 280 196
284 196 284 178
284 192 268 182
284 180 296 174
288 198 264 196
280 186 292 196
296 186 276 186
296 202 284 182
276 186 292 186
292 190 272 188
288 190 284 178
272 186 276 178
292 190 280 184
292 192 292 192
284 188 280 188
280 190 276 192
284 188 284 186
284 186 284 178
284 172 276 184
276 188 284 178
284 186 260 186
288 190 298 202
292 202 276 186
276 198 284 182
288 186 284 190
292 182 276 172
284 178 276 180
280 190 272 180
280 186 288 198
300 202 284 186
276 186 280 196
280 196 284 180
284 190 288 182
296 186 276 192
284 192 276 190
284 186 284 202
276 172 276 174
284 182 270 178
280 198 268 198
284 186 268 186
284 178 272 174
296 196 280 194
284 180 268 180
284 196 284 180
288 188 276 178
276 186 292 178
292 182 284 186
284 186 276 198
284 178 288 188
284 196 288 172
288 186 216 196
300 190 292 186
292 240 312 210
322 180 314 186
308 224 320 204
284 202 304 194
304 186 312 232
292 194 2900 196
280 212 292 210
322 198 292 206
292 220 298 182
312 194 284 190
304 212 324 194
280 194 308 194
330 214 308 256
292 186 270 178
284 188 276 200
284 178 276 178
268 190 284 180
276 186 288 190
272 190 284 198
268 198 268 186
276 196 268 174
284 182 284 182
280 186 268 180
284 190 284 172
276 178 276 186
284 196 272 180
272 188 288 202
276 184 284 182
276 190 276 178
284 188 284 188
292 192 268 186
284 194 268 178
284 178 292 198
276 192 284 186
276 182 292 196
272 198 272 64
96 64 90 66
98 62 92 64
94 64 94 60
98 66 90 62
94 62 90 60
96 64 92 66
94 62 94 62
94 62 92 62
94 62 90 66
94 62 94 64
88 64 96 66
94 64 88 60
96 64 94 68
94 64 88 64
94 64 98 64
94 60 90 66
98 64 90 64
